[38057:0x7caf40c000]     1583 ms: Incremental Mark-Compact 6.6 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.47 / 0.02 ms (+ 0.1 ms in 4 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 2 ms) (average mu = 0.986, current mu = 0.989) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1633 ms: Incremental Mark-Compact 7.1 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.46 / 0.02 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 2 ms) (average mu = 0.989, current mu = 0.991) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1684 ms: Incremental Mark-Compact 7.1 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.45 / 0.03 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 2 ms) (average mu = 0.990, current mu = 0.991) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1734 ms: Incremental Mark-Compact 7.1 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.46 / 0.02 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 2 ms) (average mu = 0.990, current mu = 0.990) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1786 ms: Incremental Mark-Compact 7.1 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.43 / 0.02 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 2 ms) (average mu = 0.991, current mu = 0.991) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1829 ms: Incremental Mark-Compact 7.1 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.44 / 0.02 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.990, current mu = 0.989) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1882 ms: Incremental Mark-Compact 7.0 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.46 / 0.02 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.991, current mu = 0.991) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1926 ms: Incremental Mark-Compact 7.0 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.46 / 0.02 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 2 ms) (average mu = 0.990, current mu = 0.989) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1977 ms: Incremental Mark-Compact 7.0 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.51 / 0.02 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 2 ms) (average mu = 0.990, current mu = 0.990) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     2026 ms: Incremental Mark-Compact 7.0 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.46 / 0.03 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 2 ms) (average mu = 0.990, current mu = 0.990) finalize incremental marking via stack guard; GC in old space requested
